"COUNTY","NAME","YEAR","win_rate","shannon_index","hhi","ESTAB","STATE","hhi_lagy1","hhi_lagy2","log_shannon","log_hhi","log_estab","Post","event_time","Post_Placebo"
"01017","Chambers County, Alabama",2012,0.22,4.12208394256352,313.934802571166,528,"AL",NA,NA,1.41635884678385,5.74918532922542,6.26909628370626,0,-5,0
"01073","Jefferson County, Alabama",2012,0.65,4.59942359646466,174.497622373589,16284,"AL",NA,NA,1.52593099052733,5.1619111161834,9.69793830962287,0,-5,0
"01081","Lee County, Alabama",2012,0.209876543209877,4.48173821518385,216.872415219872,2462,"AL",NA,NA,1.50001096563719,5.37930923233556,7.8087293067444,0,-5,0
"01087","Macon County, Alabama",2012,0.242424242424242,3.92383927930273,321.745562130178,208,"AL",NA,NA,1.36707058248069,5.77376105346791,5.33753807970132,0,-5,0
"01089","Madison County, Alabama",2012,0.285714285714286,4.49898687909398,190.730580098747,8163,"AL",NA,NA,1.5038522334498,5.25086185684938,9.00736702745136,0,-5,0
"01101","Montgomery County, Alabama",2012,0.22972972972973,4.616996875083,167.230751642814,5567,"AL",NA,NA,1.52974446669616,5.11937460504785,8.62461158818351,0,-5,0
"01117","Shelby County, Alabama",2012,0.28,4.58597918364514,161.602430555556,4800,"AL",NA,NA,1.5230036453162,5.08513918654044,8.47637119689598,0,-5,0
"04013","Maricopa County, Arizona",2012,1,4.60161658873603,170.576152136592,84611,"AZ",NA,NA,1.52640767409109,5.13918183710688,11.3458195607826,0,-5,0
"04019","Pima County, Arizona",2012,0.475,4.59574617100857,171.247653604626,20036,"AZ",NA,NA,1.52513113022129,5.14311077546964,9.90528593447751,0,-5,0
"04021","Pinal County, Arizona",2012,1,4.57191368800301,182.095509095444,3290,"AZ",NA,NA,1.51993186736482,5.20453132468011,8.09864284375942,0,-5,0
"05007","Benton County, Arkansas",2012,0.863636363636364,4.33125034411842,319.0905737956,5449,"AR",NA,NA,1.46585626340621,5.76547499287797,8.6031873845831,0,-5,0
"05119","Pulaski County, Arkansas",2012,0.299539170506912,4.59757895995976,170.262912635936,12009,"AR",NA,NA,1.52552985189149,5.13734378729852,9.39341164766068,0,-5,0
"06001","Alameda County, California",2012,0.200784826684107,4.64081164853805,181.327232406405,36690,"CA",NA,NA,1.53488927519459,5.20030331280422,10.5102595173493,0,-5,0
"06013","Contra Costa County, California",2012,0.151996565049377,4.51806600430517,183.220306957367,22109,"CA",NA,NA,1.50808402712572,5.21068929193424,10.0037400444252,0,-5,0
"06017","El Dorado County, California",2012,0.13,4.48608669933805,192.994317288471,4220,"CA",NA,NA,1.50098076255817,5.26266074437021,8.34759040703006,0,-5,0
"06019","Fresno County, California",2012,0.5,4.58715146130694,183.95460359249,15797,"CA",NA,NA,1.52325923475748,5.21468900756266,9.6675753275691,0,-5,0
"06029","Kern County, California",2012,0.96,4.57950295140863,191.181725613985,12265,"CA",NA,NA,1.52159046634342,5.25322441871678,9.41450495669259,0,-5,0
"06037","Los Angeles County, California",2012,0.287047619047619,4.64498802486132,168.290280397573,249516,"CA",NA,NA,1.53578879419172,5.12569034788066,12.4272783203741,0,-5,0
"06041","Marin County, California",2012,0.31740614334471,4.50009048218904,184.240047979343,9626,"CA",NA,NA,1.50409750372725,5.21623951593002,9.17222304986305,0,-5,0
"06053","Monterey County, California",2012,0.275862068965517,4.54953295247754,192.708956307156,8300,"CA",NA,NA,1.51502457988708,5.26118105232238,9.02401079378469,0,-5,0
"06059","Orange County, California",2012,0.306522473808719,4.59809954758916,175.042303770943,88358,"CA",NA,NA,1.52564307630001,5.16502768054407,11.3891520226016,0,-5,0
"06061","Placer County, California",2012,0.425,4.49569503337691,187.389496662348,9585,"CA",NA,NA,1.50312027963619,5.23318932054068,9.16795465547975,0,-5,0
"06065","Riverside County, California",2012,0.397849462365591,4.59595658877706,186.159597919736,34449,"CA",NA,NA,1.5251769145061,5.2266043591278,10.4472352484443,0,-5,0
"06067","Sacramento County, California",2012,0.153236459709379,4.56003470798517,184.338988615622,27474,"CA",NA,NA,1.51733023489758,5.21677639203437,10.2209953818852,0,-5,0
