"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"37037","Chatham County, North Carolina",2021,1,0.23943661971831,4.27703711779904,211.080581955768
"37037","Chatham County, North Carolina",2022,1,0.23943661971831,4.29888759262339,208.213736524985
"37063","Durham County, North Carolina",2012,1,0.96090973702914,4.56737518883094,181.237258468804
"37063","Durham County, North Carolina",2013,1,0.96090973702914,4.56844173191861,180.892075400927
"37063","Durham County, North Carolina",2014,1,0.96090973702914,4.57786958834584,177.507837088394
"37063","Durham County, North Carolina",2015,1,0.96090973702914,4.56168176621078,179.795340719346
"37063","Durham County, North Carolina",2016,1,0.96090973702914,4.55623120855545,181.090419106264
"37063","Durham County, North Carolina",2017,1,0.96090973702914,4.49488932409265,184.030013988323
"37063","Durham County, North Carolina",2018,1,0.96090973702914,4.47600067904441,189.017105548589
"37063","Durham County, North Carolina",2019,1,0.96090973702914,4.47903643673078,189.449127332057
"37063","Durham County, North Carolina",2020,1,0.96090973702914,4.47957428202685,187.33198328869
"37063","Durham County, North Carolina",2021,1,0.96090973702914,4.4766233277041,184.1331903421
"37063","Durham County, North Carolina",2022,1,0.96090973702914,4.47671334209444,184.11211929736
"37067","Forsyth County, North Carolina",2012,1,0.575,4.62137067501784,169.55366061854
"37067","Forsyth County, North Carolina",2013,1,0.575,4.62864326960425,169.61220728826
"37067","Forsyth County, North Carolina",2014,1,0.575,4.6262385825007,168.091921107567
"37067","Forsyth County, North Carolina",2015,1,0.575,4.62287377519156,172.026700840667
"37067","Forsyth County, North Carolina",2016,1,0.575,4.61860424458731,171.89403546109
"37067","Forsyth County, North Carolina",2017,1,0.575,4.56799717352628,175.395963671472
"37067","Forsyth County, North Carolina",2018,1,0.575,4.55696609018038,178.164777504124
"37067","Forsyth County, North Carolina",2019,1,0.575,4.55646787446527,179.197258125175
"37067","Forsyth County, North Carolina",2020,1,0.575,4.55382938736166,179.055317680263
"37067","Forsyth County, North Carolina",2021,1,0.575,4.55145420577494,178.637531143281
"37067","Forsyth County, North Carolina",2022,1,0.575,4.54449613859442,180.420129778856
"37071","Gaston County, North Carolina",2012,1,0.0845070422535211,4.54641841396901,196.091833272326
"37071","Gaston County, North Carolina",2013,1,0.0845070422535211,4.52601447774822,208.29069399519
"37071","Gaston County, North Carolina",2014,1,0.0845070422535211,4.52607770635031,208.348295129993
"37071","Gaston County, North Carolina",2015,1,0.0845070422535211,4.54133153685724,201.171331918403
